epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10909,2.8252,4.10028,2.70143,0,0,0,0,nan,nan,nan,0.00326389,0.00326389,0.070625
2,15.3009,2.74413,3.86025,2.80488,0.00075,0.00141,1e-05,0,5.00904,8.04526,7.7184,0.00659561,0.00659561,0.0406234
3,21.8709,2.66244,3.79167,2.69732,0.00085,0.00324,1e-05,0,4.62774,65.5049,7.44733,0.00992086,0.00992086,0.0106153
4,28.0713,2.60113,3.71557,2.64076,0.33581,0.00141,2e-05,1e-05,4.81029,18.2251,12.1869,0.00997803,0.00997803,0.00997803
5,34.905,2.53551,3.6527,2.58421,0.00044,0.06777,0.00012,3e-05,3.48037,9.40294,5.19217,0.00996097,0.00996097,0.00996097
6,41.602,2.49891,3.6247,2.57345,0.00529,0.15889,0.00271,0.00056,3.11543,6.59593,3.28801,0.00993906,0.00993906,0.00993906
7,48.5733,2.45976,3.5589,2.54339,0.35248,0.03354,0.00165,0.00048,3.08093,8.78071,3.4338,0.00991232,0.00991232,0.00991232
8,55.0635,2.44357,3.53352,2.4785,0.34861,0.00466,0.0022,0.00027,3.29516,11.8998,3.51166,0.00988079,0.00988079,0.00988079
9,61.5761,2.42565,3.45839,2.45959,0.05209,0.05873,0.02082,0.00535,2.7079,4.64348,2.77838,0.00984449,0.00984449,0.00984449
10,67.8002,2.3918,3.44672,2.43216,0.1,0.08013,0.02575,0.00791,2.73266,3.95604,2.86766,0.00980345,0.00980345,0.00980345
11,74.0195,2.36896,3.40749,2.4177,0.10848,0.06304,0.0319,0.00765,2.66412,3.65129,2.73823,0.00975773,0.00975773,0.00975773
12,80.2369,2.37828,3.40019,2.41679,0.43318,0.05797,0.03039,0.00852,2.62152,3.8967,2.64221,0.00970736,0.00970736,0.00970736
13,86.4322,2.35577,3.38834,2.38216,0.05508,0.09945,0.03166,0.00805,2.59747,3.70611,2.65339,0.00965239,0.00965239,0.00965239
14,92.7816,2.3566,3.36085,2.38283,0.37208,0.04029,0.03095,0.00773,2.54569,4.3879,2.615,0.00959289,0.00959289,0.00959289
15,99.1382,2.31491,3.30326,2.35608,0.04299,0.06389,0.01998,0.00486,2.86517,5.07615,2.83121,0.00952889,0.00952889,0.00952889
16,105.732,2.29573,3.27997,2.33596,0.43078,0.0805,0.03725,0.01242,2.66107,5.84919,2.63721,0.00946048,0.00946048,0.00946048
17,111.944,2.26727,3.28476,2.32915,0.0494,0.12995,0.02937,0.00738,2.66568,3.77334,2.68474,0.00938772,0.00938772,0.00938772
18,118.274,2.29391,3.23961,2.31361,0.12723,0.08881,0.04158,0.01188,2.56133,3.5723,2.60091,0.00931067,0.00931067,0.00931067
19,124.502,2.25259,3.21927,2.31725,0.07965,0.13386,0.03399,0.01034,2.54868,3.84863,2.5442,0.00922942,0.00922942,0.00922942
20,130.898,2.26163,3.23376,2.3132,0.07985,0.11156,0.02228,0.00663,2.59737,4.20354,2.5537,0.00914405,0.00914405,0.00914405
21,137.169,2.22066,3.20164,2.28559,0.11291,0.17342,0.04619,0.01458,2.5906,3.99407,2.62454,0.00905463,0.00905463,0.00905463
22,143.707,2.23824,3.20093,2.28487,0.09429,0.155,0.04939,0.01565,2.53148,4.06846,2.50356,0.00896127,0.00896127,0.00896127
23,149.952,2.24632,3.178,2.26989,0.42477,0.11563,0.05838,0.01683,2.49752,3.66045,2.53176,0.00886404,0.00886404,0.00886404
24,156.31,2.20894,3.12459,2.29022,0.38832,0.08761,0.03593,0.01105,2.50977,4.17687,2.52061,0.00876305,0.00876305,0.00876305
25,162.465,2.21321,3.16547,2.27343,0.06496,0.11535,0.0288,0.00854,2.54823,3.81397,2.621,0.00865839,0.00865839,0.00865839
26,168.693,2.20714,3.09678,2.237,0.43233,0.06508,0.05106,0.01676,2.52422,4.18625,2.57005,0.00855018,0.00855018,0.00855018
27,174.832,2.18524,3.10158,2.24185,0.16896,0.13298,0.07067,0.02078,2.46624,3.41244,2.49365,0.00843851,0.00843851,0.00843851
28,181.075,2.18886,3.09355,2.22599,0.09694,0.12769,0.04171,0.01226,2.50199,3.66964,2.55265,0.00832349,0.00832349,0.00832349
29,187.354,2.18652,3.10822,2.23378,0.14019,0.16819,0.07818,0.02746,2.39305,3.5276,2.41246,0.00820525,0.00820525,0.00820525
30,193.585,2.16625,3.06382,2.20933,0.13529,0.10966,0.06526,0.02265,2.47053,3.45706,2.428,0.00808389,0.00808389,0.00808389
31,199.7,2.16857,3.07352,2.20956,0.20932,0.17087,0.08595,0.02864,2.38434,3.36591,2.43859,0.00795954,0.00795954,0.00795954
32,205.94,2.12794,3.03789,2.19672,0.13253,0.12778,0.06159,0.01868,2.4339,3.56585,2.48024,0.00783231,0.00783231,0.00783231
33,212.07,2.13942,3.06,2.21181,0.18224,0.15615,0.08845,0.0293,2.41068,3.30537,2.44998,0.00770234,0.00770234,0.00770234
34,218.292,2.12816,2.97703,2.17489,0.21335,0.13037,0.07301,0.02337,2.42661,3.55517,2.4374,0.00756976,0.00756976,0.00756976
35,224.386,2.14967,3.01754,2.1892,0.14325,0.14003,0.06695,0.02143,2.4238,3.3255,2.43399,0.00743468,0.00743468,0.00743468
36,230.763,2.10892,3.02784,2.18455,0.16168,0.16115,0.07504,0.02527,2.35217,3.32552,2.35619,0.00729725,0.00729725,0.00729725
37,236.954,2.1293,3.00672,2.17996,0.20262,0.17828,0.09204,0.03043,2.37663,3.30181,2.37991,0.00715761,0.00715761,0.00715761
38,243.171,2.1143,2.97552,2.16803,0.17531,0.19323,0.08703,0.03045,2.4339,3.40398,2.43265,0.00701588,0.00701588,0.00701588
39,249.399,2.11107,2.9257,2.1433,0.18099,0.17084,0.07369,0.02691,2.41986,3.49515,2.41877,0.00687222,0.00687222,0.00687222
40,255.58,2.10106,2.89987,2.14325,0.16234,0.16378,0.08584,0.02888,2.34998,3.19364,2.35181,0.00672675,0.00672675,0.00672675
41,261.774,2.08532,2.93912,2.14081,0.17697,0.15733,0.09402,0.03158,2.39309,3.27707,2.35759,0.00657963,0.00657963,0.00657963
42,268.074,2.06995,2.90426,2.13039,0.16494,0.1736,0.09389,0.03397,2.33503,3.28752,2.3354,0.00643101,0.00643101,0.00643101
43,274.319,2.08911,2.92976,2.16116,0.14336,0.15258,0.06934,0.02337,2.39676,3.54028,2.38129,0.00628101,0.00628101,0.00628101
44,280.498,2.06846,2.90596,2.13011,0.17247,0.18258,0.09962,0.03272,2.36011,3.3074,2.36525,0.00612981,0.00612981,0.00612981
45,286.681,2.06167,2.90206,2.13596,0.14916,0.16237,0.08887,0.03065,2.35595,3.24733,2.3723,0.00597754,0.00597754,0.00597754
46,292.832,2.04516,2.88984,2.11536,0.17215,0.17328,0.08551,0.02996,2.35562,3.38188,2.34093,0.00582435,0.00582435,0.00582435
47,298.995,2.047,2.83965,2.09405,0.19477,0.17816,0.09121,0.03062,2.34862,3.26008,2.34515,0.0056704,0.0056704,0.0056704
48,305.241,2.02573,2.82173,2.11106,0.2404,0.20192,0.10498,0.03527,2.31203,3.19761,2.31733,0.00551584,0.00551584,0.00551584
49,311.663,2.03898,2.84045,2.0968,0.15384,0.20185,0.08813,0.02921,2.36798,3.41459,2.42166,0.00536081,0.00536081,0.00536081
50,317.833,2.02935,2.84267,2.09519,0.19795,0.22218,0.1082,0.0391,2.31341,3.11757,2.31418,0.00520548,0.00520548,0.00520548
51,323.977,2.02581,2.82996,2.11301,0.18289,0.17405,0.09412,0.03437,2.30414,3.20798,2.29471,0.00505,0.00505,0.00505
52,330.19,2.00949,2.77565,2.0757,0.18273,0.19761,0.08973,0.03175,2.33232,3.18277,2.33989,0.00489452,0.00489452,0.00489452
53,336.413,2.00282,2.78876,2.08076,0.21318,0.2036,0.11675,0.04203,2.33708,3.05575,2.35152,0.00473919,0.00473919,0.00473919
54,342.623,2.0014,2.78029,2.05571,0.20379,0.18223,0.1106,0.04132,2.33088,3.12152,2.28207,0.00458416,0.00458416,0.00458416
55,348.774,2.0003,2.74847,2.07506,0.1852,0.21923,0.10388,0.03691,2.29708,3.26101,2.32582,0.0044296,0.0044296,0.0044296
56,355.002,2.00063,2.72294,2.04938,0.18893,0.15675,0.08609,0.0312,2.33609,3.13762,2.29693,0.00427565,0.00427565,0.00427565
57,361.186,1.99287,2.72678,2.06119,0.21684,0.16637,0.10831,0.03957,2.30476,3.06223,2.33416,0.00412246,0.00412246,0.00412246
58,367.33,1.99959,2.77322,2.06549,0.2196,0.20029,0.12564,0.04727,2.28935,2.96127,2.27293,0.00397019,0.00397019,0.00397019
59,373.558,1.96689,2.71124,2.05392,0.21378,0.17056,0.10899,0.03534,2.32533,3.18054,2.31984,0.00381899,0.00381899,0.00381899
60,379.699,1.97336,2.72739,2.07224,0.22949,0.18662,0.11787,0.04111,2.30387,3.04423,2.2814,0.00366899,0.00366899,0.00366899
61,386.079,1.96967,2.69532,2.04269,0.18393,0.18243,0.0993,0.03536,2.34567,3.12338,2.29897,0.00352037,0.00352037,0.00352037
62,392.234,1.94887,2.69485,2.03393,0.20411,0.21245,0.12478,0.04407,2.29272,2.99336,2.28843,0.00337325,0.00337325,0.00337325
63,398.398,1.96955,2.68832,2.02631,0.20045,0.20593,0.1163,0.04388,2.28689,2.99043,2.29551,0.00322778,0.00322778,0.00322778
64,404.544,1.93299,2.67776,2.03029,0.20346,0.20433,0.10488,0.03893,2.29102,3.03577,2.30466,0.00308412,0.00308412,0.00308412
