epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5835,2.81603,4.26771,2.69135,0,0,0,0,nan,nan,nan,0.00326389,0.00326389,0.070625
2,17.5496,2.70775,3.83318,2.77226,0,0,0,0,nan,nan,nan,0.00659561,0.00659561,0.0406234
3,23.773,2.61335,3.76262,2.67562,0.00032,0.00832,1e-05,0,4.73311,nan,37.3043,0.00992086,0.00992086,0.0106153
4,30.9168,2.52814,3.73058,2.63558,0.00556,0.15342,0.00111,0.00026,3.10715,32.5753,3.73041,0.00997803,0.00997803,0.00997803
5,37.7344,2.49378,3.6392,2.56057,0.01074,0.13382,0.00395,0.00176,3.02043,12.5903,3.2286,0.00996097,0.00996097,0.00996097
6,44.0308,2.43481,3.58451,2.52424,0.01886,0.10207,0.00519,0.00119,2.81358,4.27083,3.0315,0.00993906,0.00993906,0.00993906
7,50.3921,2.39452,3.53786,2.50101,0.10215,0.04741,0.02619,0.0093,2.62443,4.451,2.73293,0.00991232,0.00991232,0.00991232
8,56.8567,2.3549,3.52022,2.43185,0.10353,0.09638,0.01874,0.00523,2.65994,4.401,2.68932,0.00988079,0.00988079,0.00988079
9,63.1069,2.32534,3.43671,2.40476,0.36441,0.03846,0.01737,0.00497,2.66643,4.31573,2.81033,0.00984449,0.00984449,0.00984449
10,69.4569,2.31318,3.39469,2.37269,0.06918,0.17362,0.02824,0.00837,2.54024,4.59497,2.66992,0.00980345,0.00980345,0.00980345
11,75.7224,2.3165,3.36501,2.38295,0.05095,0.07146,0.02228,0.00714,2.68417,3.98963,2.74381,0.00975773,0.00975773,0.00975773
12,82.0031,2.32422,3.37167,2.38945,0.06048,0.09924,0.02255,0.00646,2.62732,3.96105,2.66863,0.00970736,0.00970736,0.00970736
13,88.384,2.30833,3.36046,2.36949,0.07462,0.11887,0.02773,0.00845,2.50499,4.23913,2.62023,0.00965239,0.00965239,0.00965239
14,94.5831,2.28609,3.33678,2.35068,0.0924,0.09573,0.02155,0.00591,2.6204,3.82809,2.66135,0.00959289,0.00959289,0.00959289
15,100.925,2.26327,3.26956,2.34497,0.06006,0.10686,0.03028,0.0088,2.54354,3.90302,2.5677,0.00952889,0.00952889,0.00952889
16,107.231,2.23876,3.25681,2.31364,0.10478,0.11409,0.03747,0.01225,2.49223,3.8333,2.58892,0.00946048,0.00946048,0.00946048
17,113.686,2.21181,3.23571,2.32864,0.06086,0.13376,0.02715,0.00751,2.62122,4.67937,2.69803,0.00938772,0.00938772,0.00938772
18,119.921,2.22353,3.19365,2.30151,0.07788,0.10746,0.0369,0.01064,2.48681,3.51337,2.55827,0.00931067,0.00931067,0.00931067
19,126.146,2.17589,3.17923,2.27816,0.12477,0.11982,0.05066,0.01616,2.44791,3.56701,2.45104,0.00922942,0.00922942,0.00922942
20,132.379,2.18787,3.16758,2.2955,0.14519,0.0694,0.03825,0.01065,2.5228,3.59445,2.60929,0.00914405,0.00914405,0.00914405
21,138.686,2.14243,3.15512,2.26424,0.53497,0.09826,0.05031,0.01684,2.41033,3.9437,2.58547,0.00905463,0.00905463,0.00905463
22,144.951,2.15131,3.1514,2.26294,0.08078,0.1432,0.03414,0.01076,2.4815,3.84895,2.57812,0.00896127,0.00896127,0.00896127
23,151.225,2.17131,3.14704,2.2461,0.12318,0.16446,0.06325,0.02224,2.30489,3.74237,2.40975,0.00886404,0.00886404,0.00886404
24,157.479,2.14317,3.07297,2.25056,0.11819,0.14401,0.05968,0.01873,2.41337,3.41596,2.47653,0.00876305,0.00876305,0.00876305
25,163.722,2.14006,3.12462,2.2481,0.1375,0.15513,0.06011,0.02333,2.33762,3.50689,2.47118,0.00865839,0.00865839,0.00865839
26,170.062,2.1327,3.0621,2.22439,0.11674,0.12971,0.05366,0.01804,2.41937,3.96341,2.45442,0.00855018,0.00855018,0.00855018
27,176.225,2.10401,3.02333,2.22418,0.14868,0.13138,0.05816,0.02157,2.41903,3.3479,2.53545,0.00843851,0.00843851,0.00843851
28,182.46,2.12637,3.05084,2.21389,0.12265,0.17668,0.0599,0.02188,2.3469,3.37488,2.45192,0.00832349,0.00832349,0.00832349
29,188.802,2.12018,3.06433,2.22304,0.14954,0.14261,0.05902,0.02043,2.49261,3.72461,2.51938,0.00820525,0.00820525,0.00820525
30,194.992,2.0864,3.0048,2.1862,0.13639,0.15347,0.07757,0.02871,2.30495,3.20065,2.35349,0.00808389,0.00808389,0.00808389
31,201.207,2.08057,3.01628,2.18547,0.15688,0.14841,0.07172,0.02574,2.3434,3.26059,2.3997,0.00795954,0.00795954,0.00795954
32,207.463,2.04476,2.97005,2.17385,0.18864,0.17306,0.09591,0.0353,2.33309,3.26501,2.43028,0.00783231,0.00783231,0.00783231
33,213.725,2.06056,3.00758,2.19673,0.12982,0.1704,0.09765,0.03108,2.34743,3.34778,2.42976,0.00770234,0.00770234,0.00770234
34,219.984,2.04531,2.94716,2.16401,0.15825,0.147,0.07567,0.02507,2.42614,3.53175,2.46992,0.00756976,0.00756976,0.00756976
35,226.179,2.06673,2.96913,2.17677,0.15377,0.18716,0.08925,0.03142,2.31451,3.14886,2.39657,0.00743468,0.00743468,0.00743468
36,232.39,2.03188,2.94058,2.16257,0.16427,0.1407,0.0926,0.0372,2.30684,3.21844,2.36077,0.00729725,0.00729725,0.00729725
37,238.726,2.04791,2.92195,2.1521,0.19379,0.19494,0.11506,0.03862,2.31197,3.53495,2.38995,0.00715761,0.00715761,0.00715761
38,244.988,2.03604,2.90847,2.16254,0.1663,0.19652,0.0929,0.03262,2.28265,3.28894,2.37078,0.00701588,0.00701588,0.00701588
39,251.221,2.03952,2.87173,2.12674,0.17479,0.17968,0.10194,0.03301,2.33824,3.19898,2.37985,0.00687222,0.00687222,0.00687222
40,257.455,2.02469,2.84349,2.12582,0.20555,0.17692,0.10649,0.04503,2.26385,3.12931,2.31626,0.00672675,0.00672675,0.00672675
41,263.696,2.01146,2.87085,2.12526,0.2168,0.16715,0.10187,0.03896,2.34143,3.15289,2.34937,0.00657963,0.00657963,0.00657963
42,269.912,1.99467,2.83982,2.09877,0.21591,0.20084,0.10642,0.04104,2.27903,3.09939,2.36511,0.00643101,0.00643101,0.00643101
43,276.141,2.00458,2.854,2.12971,0.19211,0.18189,0.12095,0.04768,2.24791,3.17405,2.30633,0.00628101,0.00628101,0.00628101
44,282.397,1.98895,2.82367,2.09819,0.1814,0.19266,0.12803,0.04815,2.23339,3.00997,2.29612,0.00612981,0.00612981,0.00612981
45,288.688,1.98825,2.83644,2.12121,0.1694,0.16177,0.09239,0.03815,2.24558,3.19253,2.29759,0.00597754,0.00597754,0.00597754
46,294.886,1.97083,2.83333,2.09672,0.22439,0.19523,0.11603,0.04346,2.23197,3.1262,2.30642,0.00582435,0.00582435,0.00582435
47,301.102,1.96515,2.76369,2.07853,0.25433,0.19995,0.12936,0.04896,2.18888,2.98996,2.27587,0.0056704,0.0056704,0.0056704
48,307.394,1.94679,2.74219,2.08613,0.22324,0.20902,0.12952,0.05383,2.19299,3.01897,2.33065,0.00551584,0.00551584,0.00551584
49,313.648,1.95417,2.76586,2.07818,0.21227,0.20848,0.131,0.04607,2.22119,2.95393,2.28686,0.00536081,0.00536081,0.00536081
50,319.858,1.95604,2.77872,2.08557,0.19742,0.20216,0.12973,0.04844,2.2509,3.01713,2.28965,0.00520548,0.00520548,0.00520548
51,326.057,1.94106,2.74438,2.08342,0.19984,0.19232,0.11166,0.04669,2.21651,3.10749,2.28411,0.00505,0.00505,0.00505
52,332.298,1.93031,2.6881,2.04399,0.19742,0.22178,0.11909,0.04515,2.26773,3.09921,2.30508,0.00489452,0.00489452,0.00489452
53,338.566,1.92346,2.69741,2.04372,0.22248,0.22206,0.1423,0.05539,2.20252,2.95533,2.25759,0.00473919,0.00473919,0.00473919
54,344.901,1.91849,2.6974,2.03353,0.22616,0.21364,0.13955,0.05469,2.20241,3.01297,2.24377,0.00458416,0.00458416,0.00458416
55,351.115,1.92713,2.67004,2.05402,0.26188,0.1999,0.13855,0.04972,2.20804,3.02515,2.30305,0.0044296,0.0044296,0.0044296
56,357.345,1.92157,2.63837,2.0204,0.23821,0.2161,0.1516,0.05539,2.24052,2.87814,2.28408,0.00427565,0.00427565,0.00427565
57,363.584,1.88962,2.62054,2.01446,0.23946,0.22874,0.15064,0.06216,2.19025,2.90799,2.2848,0.00412246,0.00412246,0.00412246
58,369.891,1.91877,2.65576,2.03651,0.22016,0.20208,0.1248,0.05093,2.23374,2.99635,2.26305,0.00397019,0.00397019,0.00397019
59,376.085,1.87286,2.61725,2.01911,0.24384,0.22593,0.14343,0.05424,2.20268,2.89794,2.24657,0.00381899,0.00381899,0.00381899
60,382.343,1.88546,2.61383,2.02764,0.23604,0.219,0.15108,0.06068,2.2477,2.9554,2.32148,0.00366899,0.00366899,0.00366899
61,388.545,1.88534,2.58496,1.99978,0.22924,0.22381,0.14494,0.05817,2.19935,2.95436,2.24898,0.00352037,0.00352037,0.00352037
62,394.74,1.85729,2.58807,1.99774,0.24232,0.23454,0.162,0.06478,2.17724,2.85376,2.23557,0.00337325,0.00337325,0.00337325
63,401.034,1.87123,2.58001,1.98931,0.21255,0.24081,0.15118,0.06454,2.17973,2.85293,2.2497,0.00322778,0.00322778,0.00322778
64,407.232,1.85016,2.56567,1.99834,0.23853,0.2307,0.14522,0.06348,2.17626,2.84623,2.26032,0.00308412,0.00308412,0.00308412
65,413.419,1.85096,2.55736,1.98883,0.2266,0.23696,0.14614,0.05662,2.22419,2.91261,2.28505,0.00294239,0.00294239,0.00294239
66,419.629,1.8444,2.54152,1.9739,0.22212,0.24542,0.15149,0.05937,2.19243,2.89345,2.23307,0.00280275,0.00280275,0.00280275
67,425.796,1.81843,2.49372,1.96282,0.23028,0.23734,0.15871,0.06297,2.20852,2.84887,2.25679,0.00266532,0.00266532,0.00266532
68,431.955,1.829,2.47657,1.96156,0.21211,0.25966,0.15204,0.06165,2.2025,2.83316,2.25187,0.00253024,0.00253024,0.00253024
69,438.166,1.81612,2.47622,1.97505,0.26273,0.25179,0.17267,0.06597,2.23576,2.90043,2.31378,0.00239766,0.00239766,0.00239766
70,444.399,1.79428,2.47499,1.95937,0.23629,0.23209,0.16013,0.06486,2.21804,2.87708,2.2806,0.00226769,0.00226769,0.00226769
71,450.561,1.81883,2.50036,1.96862,0.24409,0.23833,0.15981,0.06521,2.17825,2.82387,2.25588,0.00214046,0.00214046,0.00214046
72,456.715,1.79414,2.44446,1.9431,0.29504,0.23487,0.16975,0.06696,2.21414,2.81381,2.28891,0.00201611,0.00201611,0.00201611
73,462.942,1.82244,2.45522,1.97511,0.22083,0.24963,0.16138,0.06648,2.19728,2.83608,2.26109,0.00189475,0.00189475,0.00189475
74,469.124,1.7963,2.42405,1.93336,0.27131,0.25818,0.17196,0.07423,2.19047,2.82439,2.2723,0.00177651,0.00177651,0.00177651
75,475.369,1.77562,2.40946,1.92567,0.26179,0.26044,0.18016,0.07264,2.1978,2.77785,2.26529,0.00166149,0.00166149,0.00166149
76,481.553,1.77658,2.41562,1.94054,0.26971,0.24363,0.16942,0.06788,2.2664,2.88405,2.29941,0.00154982,0.00154982,0.00154982
77,487.716,1.78318,2.39666,1.92113,0.24161,0.25902,0.16981,0.07207,2.20439,2.78125,2.28197,0.00144161,0.00144161,0.00144161
78,493.834,1.77086,2.38071,1.93081,0.26535,0.24626,0.18032,0.07335,2.21169,2.79871,2.27381,0.00133695,0.00133695,0.00133695
79,500.014,1.76116,2.35909,1.91951,0.28578,0.2557,0.17936,0.07241,2.20172,2.80046,2.2681,0.00123596,0.00123596,0.00123596
80,506.181,1.76672,2.36129,1.92112,0.27266,0.26713,0.18118,0.07371,2.19512,2.7737,2.2607,0.00113873,0.00113873,0.00113873
81,512.376,1.75513,2.3611,1.91292,0.27954,0.26243,0.17864,0.07342,2.22523,2.75107,2.28331,0.00104537,0.00104537,0.00104537
82,518.527,1.7518,2.34108,1.90739,0.28166,0.25626,0.18556,0.07626,2.23403,2.75082,2.28439,0.000955951,0.000955951,0.000955951
83,524.683,1.73607,2.33203,1.89038,0.27824,0.24466,0.18494,0.07883,2.21726,2.74856,2.27382,0.000870577,0.000870577,0.000870577
84,531.035,1.73327,2.32571,1.87499,0.26389,0.25354,0.17641,0.07426,2.20683,2.75476,2.27647,0.000789327,0.000789327,0.000789327
85,537.23,1.73051,2.32998,1.88489,0.30272,0.22236,0.17607,0.07832,2.21176,2.79081,2.27944,0.000712282,0.000712282,0.000712282
86,543.436,1.75516,2.35658,1.90864,0.25656,0.26593,0.18399,0.07978,2.21481,2.79199,2.28404,0.000639518,0.000639518,0.000639518
87,549.718,1.74205,2.29132,1.87041,0.27827,0.27142,0.18411,0.07555,2.21528,2.78728,2.29161,0.000571106,0.000571106,0.000571106
88,555.928,1.7156,2.27049,1.87173,0.28606,0.25936,0.18918,0.07666,2.22051,2.79785,2.28641,0.000507115,0.000507115,0.000507115
89,562.15,1.72067,2.28414,1.88267,0.27879,0.26373,0.18621,0.0742,2.22731,2.75447,2.298,0.000447606,0.000447606,0.000447606
90,568.351,1.72481,2.29505,1.88369,0.29984,0.26202,0.189,0.07637,2.22409,2.75294,2.29418,0.00039264,0.00039264,0.00039264
91,575.177,1.83747,2.46279,2.01454,0.29589,0.26525,0.19819,0.0843,2.19372,2.67218,2.29829,0.00034227,0.00034227,0.00034227
92,581.422,1.79043,2.38476,1.9853,0.2721,0.25098,0.18261,0.07582,2.19904,2.73723,2.29139,0.000296546,0.000296546,0.000296546
