epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8892,1.78966,3.01694,2.03117,0.08638,0.23247,0.04842,0.02101,2.5539,17.7742,3.14585,0.00165761,0.00165761,0.0685054
2,89.8835,1.78836,2.88625,2.05875,0.19354,0.22465,0.13409,0.06238,2.1457,5.6006,2.41829,0.00332391,0.00332391,0.0368384
3,132.747,1.68911,2.68427,1.9749,0.23123,0.19113,0.11969,0.05169,2.23111,3.64343,2.43526,0.00498877,0.00498877,0.00516993
4,175.21,1.63905,2.5864,1.92487,0.2527,0.25316,0.17277,0.07543,2.0828,3.09629,2.24554,0.00499512,0.00499512,0.00499512
5,218.217,1.59814,2.45912,1.89148,0.31545,0.31844,0.23611,0.10559,2.07735,2.95163,2.22052,0.00499132,0.00499132,0.00499132
6,260.899,1.55419,2.34958,1.8474,0.36545,0.36859,0.3183,0.15863,1.84045,2.54035,2.04434,0.00498644,0.00498644,0.00498644
7,303.742,1.51784,2.27664,1.81948,0.38408,0.38305,0.32427,0.16919,1.8481,2.48424,2.0293,0.00498048,0.00498048,0.00498048
8,346.4,1.49464,2.21564,1.79741,0.42485,0.39341,0.35986,0.19616,1.68112,2.36137,1.88319,0.00497345,0.00497345,0.00497345
9,389.078,1.46162,2.13632,1.7644,0.39196,0.40193,0.33903,0.1615,1.8018,2.4524,1.97645,0.00496534,0.00496534,0.00496534
10,432.091,1.44493,2.11554,1.74442,0.3979,0.35026,0.2953,0.15126,1.84236,2.87078,2.03009,0.00495616,0.00495616,0.00495616
11,474.538,1.44211,2.06377,1.74797,0.38834,0.35683,0.3109,0.1593,1.7627,2.48375,1.93435,0.00494592,0.00494592,0.00494592
12,516.986,1.41719,2.03827,1.71853,0.46608,0.41614,0.37831,0.2087,1.6751,2.36302,1.87119,0.00493461,0.00493461,0.00493461
13,559.672,1.4016,1.985,1.69405,0.46047,0.40731,0.39249,0.20852,1.68168,2.13685,1.84438,0.00492224,0.00492224,0.00492224
14,602.04,1.36919,1.93066,1.66675,0.53311,0.44166,0.43534,0.24357,1.6039,2.16392,1.7968,0.00490883,0.00490883,0.00490883
15,645.124,1.36209,1.9055,1.65907,0.53813,0.46771,0.48739,0.2849,1.61192,1.85918,1.79739,0.00489437,0.00489437,0.00489437
16,687.703,1.36752,1.93479,1.67098,0.47501,0.46703,0.43161,0.25146,1.54464,2.01913,1.74813,0.00487886,0.00487886,0.00487886
17,730.188,1.35199,1.88286,1.65383,0.48653,0.47613,0.44442,0.25593,1.58225,1.93287,1.77994,0.00486233,0.00486233,0.00486233
18,772.561,1.34639,1.87442,1.66157,0.46397,0.44442,0.42124,0.24225,1.58079,2.02652,1.7771,0.00484477,0.00484477,0.00484477
19,815.098,1.31513,1.82218,1.63065,0.4824,0.48244,0.45131,0.2722,1.56371,1.99199,1.77195,0.0048262,0.0048262,0.0048262
20,857.54,1.32318,1.81417,1.62829,0.53629,0.4375,0.43967,0.24966,1.56043,1.99026,1.72975,0.00480661,0.00480661,0.00480661
21,899.98,1.30976,1.78116,1.61893,0.4947,0.40297,0.39928,0.22504,1.58342,2.08169,1.75424,0.00478603,0.00478603,0.00478603
22,942.426,1.30927,1.76061,1.61235,0.57778,0.47277,0.4916,0.29313,1.50858,1.82765,1.70907,0.00476445,0.00476445,0.00476445
23,985.074,1.29312,1.73655,1.60512,0.51175,0.5202,0.49538,0.29274,1.49839,1.79093,1.70649,0.00474189,0.00474189,0.00474189
24,1027.51,1.2753,1.71645,1.587,0.5539,0.51302,0.53172,0.32482,1.4915,1.76334,1.70567,0.00471835,0.00471835,0.00471835
25,1070.28,1.27809,1.70293,1.58851,0.54924,0.52731,0.53623,0.31844,1.47791,1.76569,1.65523,0.00469386,0.00469386,0.00469386
26,1112.72,1.27771,1.69551,1.59576,0.54579,0.45848,0.46706,0.26991,1.53316,1.9462,1.73877,0.00466841,0.00466841,0.00466841
27,1155.07,1.26623,1.66298,1.58325,0.60904,0.52449,0.56699,0.34731,1.43033,1.7667,1.62506,0.00464203,0.00464203,0.00464203
28,1197.6,1.25217,1.65805,1.57444,0.54368,0.52117,0.50744,0.30575,1.49018,1.84569,1.70495,0.00461471,0.00461471,0.00461471
29,1239.76,1.25077,1.63599,1.57069,0.56607,0.52788,0.54954,0.34387,1.42426,1.6254,1.65209,0.00458648,0.00458648,0.00458648
30,1282.07,1.24845,1.64436,1.56966,0.60749,0.5602,0.58971,0.37299,1.4316,1.56754,1.61287,0.00455734,0.00455734,0.00455734
31,1325.29,1.23561,1.6052,1.55653,0.59992,0.55559,0.56699,0.36591,1.35567,1.6068,1.58527,0.00452732,0.00452732,0.00452732
32,1367.46,1.22401,1.56335,1.55102,0.57003,0.52153,0.54825,0.34314,1.42247,1.62416,1.61167,0.00449641,0.00449641,0.00449641
33,1409.72,1.23057,1.584,1.55292,0.6124,0.57639,0.5881,0.36762,1.41593,1.55764,1.61875,0.00446464,0.00446464,0.00446464
